날짜,valUSA,valCAN,valGBR,valJPN,valG-7,valDEU,valOECD,valITA,valAUT,valNLD,valBEL,valEA19,valAUS,valOECDE,valFRA,valDNK,valSWE,valZAF,valGRC,valIRL,valESP,valFIN,valPRT,valTUR,valBRA,valKOR,valHUN,valPOL,valCHN,valRUS,valIDN,valIND,valEST,valCZE,valISR,valSVN,valCHL,valISL
2004/2,100.9695,100.7158,100.5432,100.5912,100.5749,100.5798,100.5161,99.57092,100.4183,99.72184,100.5084,99.89217,99.80878,100.1336,99.2823,99.23468,98.80887,99.19266,101.2686,96.1739,99.72434,101.4712,99.48224,102.3069,100.8577,100.3267,100.3067,102.157,101.1891,99.91589,101.7339,99.70883,99.00358,98.72472,100.3253,98.30204,100.0182,98.3184
2004/3,101.0333,100.7596,100.5829,100.6353,100.6206,100.5738,100.556,99.55768,100.486,99.85873,100.6303,99.92717,99.81733,100.1533,99.35507,99.4539,98.97237,99.2899,101.1658,96.39815,99.76352,101.4851,99.58721,101.9309,100.8871,100.3503,100.3241,102.1121,101.0744,99.91119,101.8245,99.79048,98.94649,98.81487,100.611,98.32684,100.4041,98.45599
2004/4,101.0352,100.7409,100.5781,100.6842,100.6306,100.556,100.5622,99.55451,100.5515,99.97681,100.7054,99.95453,99.82422,100.1558,99.42039,99.66354,99.13754,99.37856,100.9949,96.61388,99.79523,101.4978,99.71131,101.5494,100.9128,100.3467,100.3207,101.9794,100.9087,99.86102,101.916,99.85078,98.83551,98.97562,100.7898,98.4469,100.7359,98.55672
2004/5,100.9946,100.6667,100.5439,100.7373,100.6172,100.5278,100.5444,99.57164,100.6021,100.0746,100.7311,99.9764,99.83518,100.1471,99.4894,99.82687,99.29547,99.47868,100.7172,96.82454,99.82407,101.5127,99.8466,101.2415,100.9543,100.3144,100.2669,101.7247,100.7307,99.78875,102.0461,99.8905,98.6217,99.15874,100.8669,98.60257,101.0292,98.6296
2004/6,100.9211,100.5644,100.4985,100.7864,100.5878,100.4911,100.5099,99.62315,100.6134,100.1467,100.7307,99.99606,99.86868,100.139,99.56704,99.96647,99.44273,99.60309,100.3291,97.01735,99.85678,101.5294,99.95118,101.0788,100.9986,100.2699,100.1943,101.3966,100.5976,99.71226,102.2512,99.91224,98.38922,99.31916,100.8709,98.76128,101.3061,98.70827
2004/7,100.8198,100.4505,100.4587,100.8115,100.5441,100.4544,100.4634,99.70146,100.5835,100.187,100.7109,100.0152,99.89964,100.1399,99.65408,100.0935,99.58329,99.75581,99.87675,97.15859,99.90121,101.5124,100.005,101.0882,101.0143,100.224,100.1109,101.065,100.5165,99.6466,102.5413,99.91676,98.28049,99.45495,100.8211,98.90814,101.5614,98.81726
2004/8,100.7057,100.3344,100.4373,100.8035,100.4924,100.4153,100.4115,99.80692,100.5229,100.192,100.6641,100.0335,99.93798,100.1507,99.74212,100.2073,99.69864,99.93565,99.40022,97.24741,99.9584,101.4596,100.0226,101.2489,100.9729,100.1695,100.0468,100.7592,100.475,99.59048,102.8988,99.90433,98.31482,99.56372,100.7223,99.03041,101.7473,98.95911
2004/9,100.6047,100.2322,100.4371,100.7793,100.4461,100.3692,100.3705,99.92278,100.4428,100.1692,100.5818,100.0502,100.005,100.1708,99.82359,100.3198,99.77873,100.1239,98.99545,97.30585,100.03,101.3929,100.0069,101.5233,100.8663,100.1014,99.99278,100.505,100.4477,99.52249,103.2968,99.87588,98.49022,99.67778,100.5945,99.10248,101.8463,99.13198
2004/10,100.5347,100.154,100.4543,100.7399,100.41,100.3065,100.3427,100.0187,100.3412,100.1234,100.4611,100.0556,100.0945,100.1877,99.8868,100.4372,99.8194,100.2933,98.682,97.36617,100.1089,101.3427,99.93693,101.8099,100.6957,100.0182,99.91403,100.3109,100.4044,99.43082,103.656,99.83239,98.78782,99.82012,100.4486,99.14642,101.8561,99.32751
2004/11,100.5045,100.1058,100.4734,100.6949,100.3861,100.2267,100.324,100.0641,100.2267,100.0663,100.2872,100.0426,100.1829,100.1887,99.9272,100.5401,99.82603,100.4226,98.47065,97.47778,100.1807,101.3036,99.80527,102.0163,100.4783,99.93823,99.81047,100.1642,100.3476,99.31476,103.8584,99.77509,99.23252,99.97571,100.3519,99.16381,101.7817,99.55647
2004/12,100.4883,100.083,100.483,100.6512,100.3612,100.1297,100.299,100.0487,100.1136,100.0108,100.0786,100.008,100.2342,100.1669,99.9415,100.6207,99.80602,100.506,98.32157,97.68577,100.2388,101.2446,99.59183,102.1011,100.244,99.88091,99.68872,100.0353,100.2655,99.21259,103.8334,99.70646,99.80045,100.1108,100.319,99.16908,101.6127,99.82096
2005/1,100.4518,100.0638,100.4775,100.6085,100.316,100.0028,100.2531,99.97251,100.0148,99.96732,99.84621,99.94761,100.2261,100.1129,99.92807,100.6824,99.76689,100.5621,98.2162,97.96539,100.2781,101.1313,99.34798,101.9817,100.0147,99.87301,99.55322,99.89191,100.1717,99.16117,103.5518,99.63101,100.4212,100.2003,100.326,99.17062,101.3783,100.1238
2005/2,100.3901,100.0248,100.4497,100.5619,100.2482,99.85073,100.1822,99.85561,99.92629,99.93394,99.6202,99.86884,100.1663,100.0309,99.88844,100.7319,99.71277,100.6094,98.11784,98.27945,100.3024,100.9983,99.14039,101.665,99.80543,99.91618,99.43213,99.73603,100.0979,99.16203,103.0968,99.5535,101.0006,100.2624,100.3309,99.20506,101.1065,100.413
2005/3,100.3166,99.96391,100.4034,100.5238,100.1718,99.70072,100.1007,99.72203,99.84365,99.90684,99.42836,99.78592,100.0763,99.93778,99.83548,100.7731,99.65315,100.6704,98.03557,98.5822,100.3227,100.8666,98.95263,101.2014,99.60617,99.97056,99.37599,99.63064,100.0704,99.2047,102.5517,99.47784,101.5458,100.3091,100.3292,99.27334,100.8446,100.6719
2005/4,100.2639,99.89173,100.342,100.5057,100.1101,99.58876,100.0308,99.57448,99.75818,99.88698,99.27875,99.71607,99.98659,99.85445,99.78763,100.7973,99.60172,100.762,98.02448,98.881,100.3487,100.7901,98.7859,100.6967,99.40524,100.0223,99.39906,99.62944,100.0704,99.28078,102.0229,99.4077,102.026,100.3785,100.3177,99.3776,100.6034,100.8982
2005/5,100.2558,99.82804,100.2833,100.5182,100.0843,99.53741,99.99624,99.44407,99.67658,99.87748,99.1916,99.67559,99.9325,99.80194,99.76328,100.8091,99.57829,100.8821,98.07245,99.16225,100.385,100.7893,98.62384,100.2693,99.2031,100.0984,99.48545,99.73304,100.0868,99.39907,101.5413,99.34564,102.4027,100.4928,100.3053,99.46852,100.4219,101.1065
2005/6,100.2883,99.78076,100.2445,100.5697,100.0998,99.55556,100.0136,99.36557,99.61048,99.89214,99.18312,99.67977,99.91891,99.79888,99.77544,100.8406,99.59099,101.0205,98.19215,99.4569,100.4344,100.8535,98.49328,100.0326,99.0148,100.2278,99.64072,99.90087,100.1205,99.57155,101.0518,99.29346,102.718,100.6399,100.2857,99.52943,100.2938,101.3077
2005/7,100.3344,99.75259,100.2296,100.6575,100.1443,99.64257,100.075,99.35628,99.57402,99.94527,99.24899,99.72996,99.89969,99.84944,99.8153,100.9025,99.62941,101.161,98.3465,99.76522,100.494,100.9397,98.42724,100.0678,98.86262,100.4138,99.84946,100.0724,100.141,99.78205,100.4936,99.25282,102.9855,100.81,100.2632,99.56155,100.2378,101.5068
2005/8,100.3954,99.74966,100.2303,100.7693,100.213,99.78223,100.1704,99.40537,99.57973,100.0409,99.3879,99.8189,99.87886,99.9425,99.87418,100.9984,99.68387,101.296,98.51068,100.1274,100.5593,101.0108,98.45967,100.3168,98.7667,100.6404,100.0837,100.2296,100.1323,100.0085,99.83207,99.22388,103.198,100.9811,100.2605,99.60982,100.2598,101.7
