날짜,계절조정변동경상수지
1980/01,-666.7
1980/02,-644.0
1980/03,-763.5
1980/04,-578.3
1980/05,-550.5
1980/06,-451.2
1980/07,-597.1
1980/08,-561.1
1980/09,-557.5
1980/10,-471.3
1980/11,-460.9
1980/12,-593.9
1981/01,-341.3
1981/02,-719.0
1981/03,-600.5
1981/04,-526.6
1981/05,-795.9
1981/06,-272.0
1981/07,-661.2
1981/08,-563.4
1981/09,-493.0
1981/10,-182.5
1981/11,-575.6
1981/12,-756.5
1982/01,-355.5
1982/02,-274.6
1982/03,-339.2
1982/04,-355.5
1982/05,-201.0
1982/06,-512.1
1982/07,-325.6
1982/08,-579.2
1982/09,-725.8
1982/10,-741.1
1982/11,-724.5
1982/12,-496.5
1983/01,-472.1
1983/02,-744.5
1983/03,-386.0
1983/04,36.9
1983/05,-437.8
1983/06,-393.1
1983/07,-50.4
1983/08,-143.5
1983/09,-269.8
1983/10,-407.7
1983/11,19.1
1983/12,-344.9
1984/01,-153.5
1984/02,-100.5
1984/03,-130.3
1984/04,-267.8
1984/05,-248.9
1984/06,-204.8
1984/07,-362.1
1984/08,-197.3
1984/09,-216.7
1984/10,41.7
1984/11,-110.3
1984/12,102.8
1985/01,-397.1
1985/02,-191.0
1985/03,-86.4
1985/04,-253.0
1985/05,-120.4
1985/06,-72.9
1985/07,-183.6
1985/08,-266.2
1985/09,-146.8
1985/10,-336.8
1985/11,-454.4
1985/12,330.2
1986/01,-307.5
1986/02,-233.5
1986/03,68.6
1986/04,363.7
1986/05,159.7
1986/06,274.3
1986/07,267.7
1986/08,441.6
1986/09,332.9
1986/10,402.0
1986/11,712.4
1986/12,124.2
1987/01,1076.0
1987/02,697.7
1987/03,652.1
1987/04,696.2
1987/05,973.6
1987/06,895.1
1987/07,871.8
1987/08,152.2
1987/09,436.6
1987/10,752.6
1987/11,796.8
1987/12,629.9
1988/01,1237.2
1988/02,1327.3
1988/03,1225.6
1988/04,997.0
1988/05,982.0
1988/06,1093.6
1988/07,993.8
1988/08,611.2
1988/09,953.4
1988/10,1007.1
1988/11,1100.3
1988/12,1229.1
1989/01,911.6
1989/02,666.7
1989/03,698.9
1989/04,537.5
1989/05,432.8
1989/06,300.6
1989/07,244.1
1989/08,-326.7
1989/09,282.5
1989/10,-151.0
1989/11,39.4
1989/12,130.5
1990/01,323.6
1990/02,-157.5
1990/03,-46.7
1990/04,-150.1
1990/05,-184.3
1990/06,13.4
1990/07,243.4
1990/08,66.7
1990/09,-555.5
1990/10,-443.5
1990/11,-1493.0
1990/12,-420.0
1991/01,-575.5
1991/02,-1094.9
1991/03,-909.5
1991/04,-828.6
1991/05,-434.6
1991/06,-332.2
1991/07,-881.4
1991/08,-753.6
1991/09,-946.4
1991/10,-343.8
1991/11,-645.9
1991/12,-287.3
1992/01,30.6
1992/02,-369.3
1992/03,-451.8
1992/04,-141.1
1992/05,-211.0
1992/06,-317.5
1992/07,-412.0
1992/08,23.5
1992/09,-229.4
1992/10,-123.0
1992/11,-250.3
1992/12,-449.3
1993/01,161.1
1993/02,-148.3
1993/03,144.6
1993/04,272.1
1993/05,33.7
1993/06,-190.5
1993/07,113.0
1993/08,317.6
1993/09,-72.5
1993/10,240.2
1993/11,336.6
1993/12,480.4
1994/01,-375.3
1994/02,198.0
1994/03,-77.7
1994/04,-225.5
1994/05,-844.4
1994/06,-31.3
1994/07,-201.1
1994/08,-1027.6
1994/09,-382.1
1994/10,-255.0
1994/11,-312.8
1994/12,-1258.6
1995/01,-98.5
1995/02,-1201.2
1995/03,-1021.0
1995/04,-762.3
1995/05,-1040.9
1995/06,-1126.1
1995/07,-765.7
1995/08,-696.6
1995/09,-1304.9
1995/10,-735.3
1995/11,-633.3
1995/12,-843.5
1996/01,-697.4
1996/02,-1255.5
1996/03,-1563.5
1996/04,-2095.1
1996/05,-1802.3
1996/06,-2093.7
1996/07,-2282.5
1996/08,-2794.3
1996/09,-1913.9
