날짜,원/달러,원/엔,원/유로
1994/4,808.56,781.66,922.77
1994/5,806.55,777.42,938.71
1994/6,806.64,786.04,952.91
1994/7,805.12,817.05,978.38
1994/8,803.46,805.23,979.01
1994/9,800.73,809.71,985.5
1994/10,798.76,811.27,1001.83
1994/11,796.33,812.97,986.18
1994/12,791.86,790.95,959.55
1995/1,790.48,792.4,977.15
1995/2,790.73,805.17,990.51
1995/3,778.69,859.56,1013.04
1995/4,767.5,918.5,1020.33
1995/5,761.4,895.78,995.25
1995/6,761.04,900.82,1003.18
1995/7,757.01,869.21,1009.48
1995/8,767.96,812.12,995.57
1995/9,772.35,768.41,987.42
1995/10,767.4,761.99,996.6
1995/11,769.41,754.6,998.03
1995/12,771.08,757.2,983.69
1996/1,787.27,745.15,993.42
1996/2,780.28,737.38,977.29
1996/3,781.25,737.4,980.27
1996/4,780.43,727.04,969.97
1996/5,780.16,733.74,957.77
1996/6,797.96,732.68,988.3
1996/7,812.76,743.26,1019.86
1996/8,816.81,757.85,1036.88
1996/9,821.76,749.14,1034.64
1996/10,827.61,736.82,1037.08
1996/11,828.18,737.59,1051.55
1996/12,839.02,736.52,1043.15
1997/1,849.88,721.87,1029.35
1997/2,866.85,704.65,1005.42
1997/3,879.41,716.83,1007.64
1997/4,893.56,711.4,1018.98
1997/5,892.05,752.67,1021.46
1997/6,889.49,778.21,1006.65
1997/7,890.5,773.97,982.0
1997/8,895.9,760.09,958.95
1997/9,909.53,751.95,997.13
1997/10,921.85,761.12,1030.61
1997/11,1025.58,819.58,1171.47
1997/12,1484.08,1143.62,1651.61
1998/1,1706.8,1313.38,1853.42
1998/2,1623.06,1289.91,1768.17
1998/3,1505.28,1169.98,1635.13
1998/4,1391.97,1056.33,1519.93
1998/5,1394.62,1032.99,1547.76
1998/6,1397.18,993.18,1538.74
1998/7,1300.77,925.1,1428.76
1998/8,1303.22,901.46,1439.61
1998/9,1370.8,1021.02,1583.58
1998/10,1336.72,1120.42,1606.18
1998/11,1294.13,1075.44,1512.58
1998/12,1213.65,1034.56,1427.27
1999/1,1176.94,1039.18,1365.12
1999/2,1186.81,1018.47,1330.5
1999/3,1229.16,1027.55,1337.48
1999/4,1208.94,1009.87,1295.03
1999/5,1197.0,982.07,1272.64
1999/6,1169.63,968.42,1215.38
1999/7,1186.04,991.98,1229.09
1999/8,1199.79,1057.77,1272.34
1999/9,1196.97,1111.46,1256.01
1999/10,1206.38,1138.81,1292.47
1999/11,1177.22,1123.31,1217.82
1999/12,1138.39,1109.08,1151.7
2000/1,1131.07,1074.52,1146.91
2000/2,1128.8,1030.93,1110.74
2000/3,1117.19,1048.11,1078.11
2000/4,1109.76,1052.99,1049.39
2000/5,1120.01,1036.5,1017.59
2000/6,1118.73,1053.17,1061.78
2000/7,1114.86,1033.62,1048.61
2000/8,1114.57,1031.23,1009.99
2000/9,1116.5,1044.85,975.68
2000/10,1127.31,1040.25,962.15
2000/11,1151.15,1057.17,983.55
2000/12,1214.4,1083.21,1091.38
2001/1,1272.82,1088.93,1196.42
2001/2,1252.44,1078.01,1154.53
2001/3,1288.43,1061.62,1171.67
2001/4,1325.55,1071.0,1183.73
2001/5,1298.46,1065.38,1137.12
2001/6,1293.83,1058.2,1104.1
2001/7,1302.6,1046.98,1121.46
2001/8,1285.39,1057.22,1157.41
2001/9,1293.7,1090.14,1180.07
2001/10,1302.6,1073.11,1178.9
2001/11,1284.0,1049.55,1140.69
2001/12,1289.66,1013.12,1150.62
2002/1,1317.6,993.41,1165.5
2002/2,1318.72,987.52,1146.71
2002/3,1322.51,1008.73,1158.75
2002/4,1318.93,1007.97,1168.21
2002/5,1266.06,1001.56,1160.82
2002/6,1223.47,993.12,1169.42
2002/7,1185.12,1003.88,1175.59
2002/8,1196.37,1004.44,1170.0
2002/9,1208.5,1001.56,1184.33
2002/10,1241.13,1001.05,1217.23
2002/11,1211.91,997.21,1214.16
2002/12,1208.91,991.85,1232.05
2003/1,1179.27,993.28,1251.13
2003/2,1191.19,996.78,1283.12
2003/3,1232.4,1038.54,1330.93
2003/4,1232.82,1029.19,1338.83
2003/5,1199.78,1023.33,1392.26
2003/6,1194.02,1008.76,1393.28
2003/7,1181.59,995.77,1345.45
2003/8,1178.42,992.09,1314.49
2003/9,1166.17,1015.26,1308.85
2003/10,1166.27,1065.53,1365.5
2003/11,1184.87,1085.17,1385.52
