날짜,S&P,항셍,SToxx,코스피,코스닥
2004/1,1132.52,,235.53,845.53,448.28
2004/2,1143.36,1750.11,239.79,867.45,439.05
2004/3,1123.98,1689.21,238.78,875.58,431.49
2004/4,1133.08,1617.85,243.94,907.14,463.2
2004/5,1102.78,1496.03,236.23,798.79,408.41
2004/6,1132.76,1550.23,240.8,771.61,383.97
2004/7,1105.85,1565.57,235.44,746.07,358.98
2004/8,1088.94,1588.57,231.58,770.31,344.08
2004/9,1117.66,1674.99,238.68,835.92,368.12
2004/10,1118.07,1687.21,240.89,849.11,365.1
2004/11,1168.94,1767.95,246.79,863.1,367.72
2004/12,,,,873.06,376.91
2005/1,1181.41,1761.22,253.82,903.35,436.91
2005/2,1199.63,1805.81,263.62,964.48,492.31
2005/3,1194.9,1796.09,263.55,988.23,474.28
2005/4,1164.43,1772.52,261.59,955.41,448.71
2005/5,1178.28,1781.83,262.03,938.98,441.46
2005/6,1202.25,1807.37,274.28,991.34,487.55
2005/7,1222.24,1874.21,280.78,1058.71,525.01
2005/8,1224.27,1953.89,286.16,1101.84,517.15
2005/9,1225.92,1953.52,292.58,1171.02,538.37
2005/10,1191.96,1884.86,289.67,1190.87,591.7
2005/11,1237.32,1899.53,298.27,1253.26,652.37
2005/12,,,,1338.81,721.05
2006/1,1278.72,2048.54,315.87,1379.32,708.27
2006/2,1276.11,2087.88,325.83,1341.72,656.84
2006/3,1293.74,2117.02,332.55,1331.72,657.5
2006/4,1302.18,2234.2,337.0,1415.92,693.71
2006/5,,2223.03,,1388.84,663.35
2006/6,1253.12,2099.73,311.91,1249.19,576.71
2006/7,1260.24,2190.48,319.43,1278.0,563.45
2006/8,1287.15,2266.88,329.11,1316.09,553.36
2006/9,1317.81,2308.84,335.87,1356.53,597.94
2006/10,1363.34,2396.13,350.26,1354.04,577.5
2006/11,1388.63,2550.75,357.0,1403.93,607.57
2006/12,,,,1418.83,608.56
2007/1,1424.16,2814.14,371.12,1379.25,593.23
2007/2,1444.8,2844.85,378.8,1434.89,602.08
2007/3,1407.0,2695.1,365.71,1431.62,627.46
